-3.83607E-06;-0.278293218;958.6126867
-3.83189E-06;-0.278305837;958.6303877
-3.8277E-06;-0.278318446;958.6480803
-3.82351E-06;-0.278331045;958.6657644
-3.81932E-06;-0.278343633;958.68344
-3.81513E-06;-0.278356212;958.7011071
-3.81094E-06;-0.27836878;958.7187656
-3.80675E-06;-0.278381338;958.7364154
-3.80256E-06;-0.278393885;958.7540567
-3.79836E-06;-0.278406421;958.7716892
-3.79417E-06;-0.278418947;958.7893129
-3.78997E-06;-0.278431462;958.8069279
-3.78578E-06;-0.278443965;958.824534
-3.78158E-06;-0.278456458;958.8421313
-3.77738E-06;-0.278468939;958.8597196
-3.77319E-06;-0.278481409;958.8772989
-3.76899E-06;-0.278493867;958.8948693
-3.76479E-06;-0.278506314;958.9124306
-3.76059E-06;-0.278518748;958.9299827
-3.7564E-06;-0.278531171;958.9475257
-3.7522E-06;-0.278543582;958.9650595
-3.748E-06;-0.27855598;958.982584
-3.7438E-06;-0.278568367;959.0000992
-3.7396E-06;-0.27858074;959.0176051
-3.7354E-06;-0.278593102;959.0351015
-3.73121E-06;-0.27860545;959.0525885
-3.72701E-06;-0.278617786;959.0700659
-3.72281E-06;-0.278630108;959.0875338
-3.71861E-06;-0.278642418;959.1049921
-3.71442E-06;-0.278654714;959.1224407
-3.71022E-06;-0.278666997;959.1398795
-3.70603E-06;-0.278679266;959.1573086
-3.70183E-06;-0.278691522;959.1747279
-3.69764E-06;-0.278703764;959.1921374
-3.69344E-06;-0.278715992;959.2095369
-3.68925E-06;-0.278728207;959.2269264
-3.68506E-06;-0.278740407;959.244306
-3.68087E-06;-0.278752593;959.2616754
-3.67668E-06;-0.278764764;959.2790348
-3.67249E-06;-0.278776921;959.2963839
-3.6683E-06;-0.278789064;959.3137229
-3.66411E-06;-0.278801191;959.3310516
-3.65992E-06;-0.278813304;959.34837
-3.65574E-06;-0.278825402;959.365678
-3.65156E-06;-0.278837485;959.3829756
-3.64737E-06;-0.278849553;959.4002626
-3.64319E-06;-0.278861605;959.4175392
-3.63901E-06;-0.278873642;959.4348052
-3.63484E-06;-0.278885663;959.4520605
-3.63066E-06;-0.278897668;959.4693052
-3.62648E-06;-0.278909657;959.4865391
-3.62231E-06;-0.27892163;959.5037621
-3.61814E-06;-0.278933587;959.5209744
